"source_type","current_url","title","parent_id","content_count","http_status","in_current_sitemap","keep_url","recommended_action","proposed_url","component","note"
"block","https://topicauni.edu.vn/blocks/blog-header/","Blog Header","","","200","yes","no","internal-only","","InternalCMSBlock","Remove from public sitemap; current endpoint returns HTTP 200 with an empty body."
"block","https://topicauni.edu.vn/blocks/demos/","Demos","","","200","yes","no","internal-only","","InternalCMSBlock","Remove from public sitemap; current endpoint returns HTTP 200 with an empty body."
"block","https://topicauni.edu.vn/blocks/elements-overview/","Elements Overview","","","200","yes","no","internal-only","","InternalCMSBlock","Remove from public sitemap; current endpoint returns HTTP 200 with an empty body."
"block","https://topicauni.edu.vn/blocks/features-overview/","Features Overview","","","200","yes","no","internal-only","","InternalCMSBlock","Remove from public sitemap; current endpoint returns HTTP 200 with an empty body."
"block","https://topicauni.edu.vn/blocks/footer-about-us/","Footer – About us","","","200","yes","no","internal-only","","InternalCMSBlock","Remove from public sitemap; current endpoint returns HTTP 200 with an empty body."
"block","https://topicauni.edu.vn/blocks/footer-newsletter-signup/","Footer – Newsletter Signup","","","200","yes","no","internal-only","","InternalCMSBlock","Remove from public sitemap; current endpoint returns HTTP 200 with an empty body."
"block","https://topicauni.edu.vn/blocks/shop-category-slider/","Shop – Category Slider","","","200","yes","no","internal-only","","InternalCMSBlock","Remove from public sitemap; current endpoint returns HTTP 200 with an empty body."
"block","https://topicauni.edu.vn/blocks/shop-header/","Shop – Header","","","200","yes","no","internal-only","","InternalCMSBlock","Remove from public sitemap; current endpoint returns HTTP 200 with an empty body."
"category","https://topicauni.edu.vn/chuyen-muc/cac-tam-guong-noi-bat/","Các tấm gương nổi bật","0","0","200","no","no","noindex-merge","","NewsCategoryPage","Empty or catch-all taxonomy; merge only after content and backlink review."
"category","https://topicauni.edu.vn/chuyen-muc/digi-doi/","Digi: Đổi","0","0","200","no","no","noindex-merge","","NewsCategoryPage","Empty or catch-all taxonomy; merge only after content and backlink review."
"category","https://topicauni.edu.vn/chuyen-muc/hoat-dong-sinh-vien-2/","Hoạt động sinh viên","0","0","200","no","no","noindex-merge","","NewsCategoryPage","Empty or catch-all taxonomy; merge only after content and backlink review."
