"source_id","source_url","target_url","http_code","status","trigger","reason","content_owner","canonical_policy","qa_required"
"category:thong-bao-tuyen-sinh","https://topicauni.edu.vn/chuyen-muc/thong-bao-tuyen-sinh/","https://topicauni.edu.vn/tin-tuc/thong-bao-tuyen-sinh/","301","READY_AFTER_TARGET","Target archive is published and contains all 5 posts","Move active category to the new news namespace","Marketing","Target self-canonical; source removed from sitemap","Status 301; one hop; post count; canonical; sitemap"
"category:tin-tuc-tuyen-sinh","https://topicauni.edu.vn/chuyen-muc/tin-tuc-tuyen-sinh/","https://topicauni.edu.vn/tin-tuc/tuyen-sinh/","301","READY_AFTER_TARGET","Target archive is published and contains all 4 posts","Move active category to the new news namespace","Marketing","Target self-canonical; source removed from sitemap","Status 301; one hop; post count; canonical; sitemap"
"legacy-footer-link","https://topicauni.edu.vn/category/tin-tuc-tuyen-sinh/","https://topicauni.edu.vn/tin-tuc/tuyen-sinh/","301","READY_AFTER_TARGET","Target archive is published","Current footer links to a 404 category path","Marketing","Target self-canonical","Status 301; one hop; update footer link"
"category:tin-tuc","https://topicauni.edu.vn/chuyen-muc/tin-tuc/","https://topicauni.edu.vn/tin-tuc/","301","READY_AFTER_TARGET","New news index is published","Replace legacy category archive with curated news index","Marketing","Target self-canonical; source removed from sitemap","Status 301; one hop; pagination; canonical; sitemap"
"category:tin-tuc-chung","https://topicauni.edu.vn/chuyen-muc/tin-tuc/tin-tuc-chung/","https://topicauni.edu.vn/tin-tuc/","301","READY_AFTER_TARGET","All 17 posts are visible on the new index or reassigned","Legacy category duplicates the general news archive","Marketing","Target self-canonical; source removed from sitemap","Status 301; one hop; post count; canonical"
"category:su-kien","https://topicauni.edu.vn/chuyen-muc/tin-tuc/su-kien/","https://topicauni.edu.vn/tin-tuc/su-kien/","301","READY_AFTER_TARGET","Target archive is published and contains the existing post","Move active category to the new news namespace","Marketing","Target self-canonical; source removed from sitemap","Status 301; one hop; post count; canonical"
"category:tuyen-dung","https://topicauni.edu.vn/chuyen-muc/tuyen-dung/","https://topicauni.edu.vn/tin-tuc/tuyen-dung/","301","READY_AFTER_TARGET","Target archive is published and contains both posts","Move active category to the new news namespace","Human Resources","Target self-canonical; source removed from sitemap","Status 301; one hop; post count; canonical"
"page:91","https://topicauni.edu.vn/blog/","https://topicauni.edu.vn/tin-tuc/","301","READY_AFTER_TARGET","New news index is published","Current page only contains a Flatsome setup instruction","Marketing","Target self-canonical; source removed from sitemap","Status 301; one hop; canonical; sitemap"
"page:1126","https://topicauni.edu.vn/hoc-phi/","https://topicauni.edu.vn/tuyen-sinh/hoc-phi-hoc-bong/","301","READY_AFTER_CONTENT_QA","Finance confirms current tuition and scholarship figures on target","Target is the fuller current source for tuition and scholarships","Admissions","Target self-canonical; source removed from sitemap","Content parity; finance sign-off; status 301; internal links"
"page:4133","https://topicauni.edu.vn/tuyen-sinh-van-bang-2/","https://topicauni.edu.vn/van-bang-hai/","301","READY_AFTER_CONTENT_QA","Admissions confirms the older page remains the valid program source","Source currently says 'Đang cập nhập'; target contains substantive admissions content","Admissions","Target self-canonical; source removed from sitemap","Admissions sign-off; status 301; internal links"
"page:1139","https://topicauni.edu.vn/de-an-quy-che-tuyen-sinh/","https://topicauni.edu.vn/tuyen-sinh/","301","HOLD_LEGAL","2025 material is migrated and both 2026 document pages are approved","Legacy page mixes admission scheme and regulation into one stale page","Admissions and Quality Assurance","Keep self-canonical and noindex-follow until approval; then redirect","Legal sign-off; document completeness; internal links; one hop"
"wp:page:1098","https://topicauni.edu.vn/thong-bao-tuyen-sinh/","https://topicauni.edu.vn/thong-bao-tuyen-sinh/","","CMS_DEDUPLICATE","Useful forms and evergreen fragments are migrated","A Page and Post claim the same slug; Page must not own canonical output","Admissions","Unpublish Page ID 1098; canonical remains unchanged","Content fragment review; REST resolution; sitemap has one entry"
"wp:post:3818","https://topicauni.edu.vn/thong-bao-tuyen-sinh/","https://topicauni.edu.vn/thong-bao-tuyen-sinh/","200","KEEP_CANONICAL","At cutover","The live 2026 announcement is an Article and owns the existing URL","Admissions","Self-canonical","Article date; author; schema; canonical; sitemap"
"block:blog-header","https://topicauni.edu.vn/blocks/blog-header/","","410","RETIRE_AT_CUTOVER","Headless frontend is live and CMS blocks are private","Internal UX Block currently appears in public sitemap and returns an empty body","Technology","No canonical; remove from sitemap","Status 410; absent from sitemap; no internal links"
"block:demos","https://topicauni.edu.vn/blocks/demos/","","410","RETIRE_AT_CUTOVER","Headless frontend is live and CMS blocks are private","Internal UX Block currently appears in public sitemap and returns an empty body","Technology","No canonical; remove from sitemap","Status 410; absent from sitemap; no internal links"
"block:elements-overview","https://topicauni.edu.vn/blocks/elements-overview/","","410","RETIRE_AT_CUTOVER","Headless frontend is live and CMS blocks are private","Internal UX Block currently appears in public sitemap and returns an empty body","Technology","No canonical; remove from sitemap","Status 410; absent from sitemap; no internal links"
"block:features-overview","https://topicauni.edu.vn/blocks/features-overview/","","410","RETIRE_AT_CUTOVER","Headless frontend is live and CMS blocks are private","Internal UX Block currently appears in public sitemap and returns an empty body","Technology","No canonical; remove from sitemap","Status 410; absent from sitemap; no internal links"
"block:footer-about-us","https://topicauni.edu.vn/blocks/footer-about-us/","","410","RETIRE_AT_CUTOVER","Headless frontend is live and CMS blocks are private","Internal UX Block currently appears in public sitemap and returns an empty body","Technology","No canonical; remove from sitemap","Status 410; absent from sitemap; no internal links"
"block:footer-newsletter-signup","https://topicauni.edu.vn/blocks/footer-newsletter-signup/","","410","RETIRE_AT_CUTOVER","Headless frontend is live and CMS blocks are private","Internal UX Block currently appears in public sitemap and returns an empty body","Technology","No canonical; remove from sitemap","Status 410; absent from sitemap; no internal links"
"block:shop-category-slider","https://topicauni.edu.vn/blocks/shop-category-slider/","","410","RETIRE_AT_CUTOVER","Headless frontend is live and CMS blocks are private","Internal UX Block currently appears in public sitemap and returns an empty body","Technology","No canonical; remove from sitemap","Status 410; absent from sitemap; no internal links"
"block:shop-header","https://topicauni.edu.vn/blocks/shop-header/","","410","RETIRE_AT_CUTOVER","Headless frontend is live and CMS blocks are private","Internal UX Block currently appears in public sitemap and returns an empty body","Technology","No canonical; remove from sitemap","Status 410; absent from sitemap; no internal links"
"page:cart","https://topicauni.edu.vn/cart/","","410","RETIRE_AT_CUTOVER","Business confirms the new site has no ecommerce workflow","Unused WooCommerce route is indexable today","Technology","No canonical; noindex now; remove from sitemap","Business sign-off; status 410; no internal links"
"page:checkout","https://topicauni.edu.vn/checkout/","","410","RETIRE_AT_CUTOVER","Business confirms the new site has no ecommerce workflow","Unused WooCommerce route is indexable today","Technology","No canonical; noindex now; remove from sitemap","Business sign-off; status 410; no internal links"
"page:my-account","https://topicauni.edu.vn/my-account/","","410","RETIRE_AT_CUTOVER","Business confirms the new site has no ecommerce workflow","Unused WooCommerce route is indexable today","Technology","No canonical; noindex now; remove from sitemap","Business sign-off; status 410; no internal links"
"page:shop","https://topicauni.edu.vn/shop/","","410","RETIRE_AT_CUTOVER","Business confirms the new site has no ecommerce workflow","Unused WooCommerce route is indexable today","Technology","No canonical; noindex now; remove from sitemap","Business sign-off; status 410; no internal links"
"page:test","https://topicauni.edu.vn/test/","","410","RETIRE_AT_CUTOVER","Content owner confirms there is no reusable production content","Test page should not be public or indexable","Technology","No canonical; noindex now; remove from sitemap","Status 410; absent from sitemap; no internal links"
"category:cac-tam-guong-noi-bat","https://topicauni.edu.vn/chuyen-muc/cac-tam-guong-noi-bat/","","410","HOLD_TRAFFIC_REVIEW","GSC backlinks and 90-day logs show no value","Empty category","Marketing","Noindex now; remove from sitemap; 410 after review","GSC; backlink; logs; internal links"
"category:digi-doi","https://topicauni.edu.vn/chuyen-muc/digi-doi/","","410","HOLD_TRAFFIC_REVIEW","GSC backlinks and 90-day logs show no value","Empty category","Marketing","Noindex now; remove from sitemap; 410 after review","GSC; backlink; logs; internal links"
"category:hoat-dong-sinh-vien-2","https://topicauni.edu.vn/chuyen-muc/hoat-dong-sinh-vien-2/","","410","HOLD_TRAFFIC_REVIEW","GSC backlinks and 90-day logs show no value","Empty duplicate category","Marketing","Noindex now; remove from sitemap; 410 after review","GSC; backlink; logs; internal links"
"category:hoat-dong-sinh-vien","https://topicauni.edu.vn/chuyen-muc/hoat-dong-sinh-vien/","","410","HOLD_TRAFFIC_REVIEW","GSC backlinks and 90-day logs show no value","Empty category; future content belongs in /tin-tuc/sinh-vien/","Marketing","Noindex now; remove from sitemap; 410 after review","GSC; backlink; logs; internal links"
"category:cuu-sinh-vien","https://topicauni.edu.vn/chuyen-muc/hoat-dong-sinh-vien/cuu-sinh-vien/","","410","HOLD_TRAFFIC_REVIEW","GSC backlinks and 90-day logs show no value","Empty child category","Marketing","Noindex now; remove from sitemap; 410 after review","GSC; backlink; logs; internal links"
"category:nhung-dieu-can-biet","https://topicauni.edu.vn/chuyen-muc/hoat-dong-sinh-vien/nhung-dieu-can-biet/","","410","HOLD_TRAFFIC_REVIEW","GSC backlinks and 90-day logs show no value","Empty child category","Marketing","Noindex now; remove from sitemap; 410 after review","GSC; backlink; logs; internal links"
"category:thong-bao","https://topicauni.edu.vn/chuyen-muc/hoat-dong-sinh-vien/thong-bao/","","410","HOLD_TRAFFIC_REVIEW","GSC backlinks and 90-day logs show no value","Empty child category","Marketing","Noindex now; remove from sitemap; 410 after review","GSC; backlink; logs; internal links"
"category:tuoi-tre-pxu","https://topicauni.edu.vn/chuyen-muc/hoat-dong-sinh-vien/tuoi-tre-pxu/","","410","HOLD_TRAFFIC_REVIEW","GSC backlinks and 90-day logs show no value","Empty child category","Marketing","Noindex now; remove from sitemap; 410 after review","GSC; backlink; logs; internal links"
"category:hop-tac","https://topicauni.edu.vn/chuyen-muc/hop-tac/","","410","HOLD_TRAFFIC_REVIEW","GSC backlinks and 90-day logs show no value","Empty category","Marketing","Noindex now; remove from sitemap; 410 after review","GSC; backlink; logs; internal links"
"category:huong-nghiep","https://topicauni.edu.vn/chuyen-muc/huong-nghiep/","","410","HOLD_TRAFFIC_REVIEW","GSC backlinks and 90-day logs show no value","Empty category","Marketing","Noindex now; remove from sitemap; 410 after review","GSC; backlink; logs; internal links"
"category:khao-thi","https://topicauni.edu.vn/chuyen-muc/khao-thi/","","410","HOLD_TRAFFIC_REVIEW","GSC backlinks and 90-day logs show no value","Empty category","Quality Assurance","Noindex now; remove from sitemap; 410 after review","GSC; backlink; logs; internal links"
"category:khoa-cong-nghe-va-quan-tri","https://topicauni.edu.vn/chuyen-muc/khoa-cong-nghe-va-quan-tri/","","410","HOLD_TRAFFIC_REVIEW","GSC backlinks and 90-day logs show no value","Empty category","Academic Affairs","Noindex now; remove from sitemap; 410 after review","GSC; backlink; logs; internal links"
"category:khoa-ky-thuat-va-dich-vu","https://topicauni.edu.vn/chuyen-muc/khoa-ky-thuat-va-dich-vu/","","410","HOLD_TRAFFIC_REVIEW","GSC backlinks and 90-day logs show no value","Empty category","Academic Affairs","Noindex now; remove from sitemap; 410 after review","GSC; backlink; logs; internal links"
"category:khoa-ngon-ngu","https://topicauni.edu.vn/chuyen-muc/khoa-ngon-ngu/","","410","HOLD_TRAFFIC_REVIEW","GSC backlinks and 90-day logs show no value","Empty category","Academic Affairs","Noindex now; remove from sitemap; 410 after review","GSC; backlink; logs; internal links"
"category:khung-chuong-trinh-va-ke-hoach-dao-tao","https://topicauni.edu.vn/chuyen-muc/khung-chuong-trinh-va-ke-hoach-dao-tao/","","410","HOLD_TRAFFIC_REVIEW","GSC backlinks and 90-day logs show no value","Empty category; content belongs to academic resource pages","Academic Affairs","Noindex now; remove from sitemap; 410 after review","GSC; backlink; logs; internal links"
"category:nghien-cuu-khoa-hoc","https://topicauni.edu.vn/chuyen-muc/nghien-cuu-khoa-hoc/","","410","HOLD_TRAFFIC_REVIEW","GSC backlinks and 90-day logs show no value","Empty category","Academic Affairs","Noindex now; remove from sitemap; 410 after review","GSC; backlink; logs; internal links"
"category:quy-trinh-iso","https://topicauni.edu.vn/chuyen-muc/quy-trinh-iso/","","410","HOLD_TRAFFIC_REVIEW","GSC backlinks and 90-day logs show no value","Empty category; content belongs to quality resource pages","Quality Assurance","Noindex now; remove from sitemap; 410 after review","GSC; backlink; logs; internal links"
"category:strive","https://topicauni.edu.vn/chuyen-muc/strive/","","410","HOLD_TRAFFIC_REVIEW","GSC backlinks and 90-day logs show no value","Empty category","Marketing","Noindex now; remove from sitemap; 410 after review","GSC; backlink; logs; internal links"
